"","rowID","start_date","end_date","progress","duration_in_seconds","finished","recorded_date","response_id","location_latitude","location_longitude","q1","q2","q3","q4","state_fips","q5","q6","q7","q8","q9","q10","q13_treat_time","q14","q16_control_time","q17","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28_1","q28_2","q28_3","q28_4","q28_5","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40_1","q40_2","q40_3","q40_4","q40_5","q41_1","q41_2","q41_3","q41_4","q41_5","q41_6","q43_1","q43_2","q43_3","q43_4","q43_5","q43_6","q44_1","q44_2","q44_3","q44_4","q44_5","q44_6","q46_1","q46_2","q46_3","q46_4","q46_5","q46_6","q41.1","q41.2","q41.3","q41.4","q41.5","q41.6","q43.1","q43.2","q43.3","q43.4","q43.5","q43.6","q47","q48","q49","q50","q51","q52","q53","q54","q55","q56","q57","q58","gender","gender_3cat","age_cat","age_4cat","hisp","race","race2","race_wnw","race_hisp","educ","educ_4cat","milserv1","milserv2","milservfam","milrelation","mil_anyrelation","voted2020","voted2020.clps","choice2020","voteintent","partyid_3cat","partyid","partystr_rep","partystr_dem","partylean","ideo_3cat","ideo","ideolean","lucid_age","lucid_gender","lucid_hhi","lucid_ethnicity","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","lucid_rid","group","group.dummy","qset","popeff_qdo","q41.1.clps","q41.2.clps","q41.3.clps","q41.4.clps","q41.5.clps","q41.6.clps","q43.1.clps","q43.2.clps","q43.3.clps","q43.4.clps","q43.5.clps","q43.6.clps","q41.1.clps.dum","q41.2.clps.dum","q41.3.clps.dum","q41.4.clps.dum","q41.5.clps.dum","q41.6.clps.dum","q43.1.clps.dum","q43.2.clps.dum","q43.3.clps.dum","q43.4.clps.dum","q43.5.clps.dum","q43.6.clps.dum","trst.mean.scores","trst.sum.scores","trst.sum.rescaled","trst.zscores","eef.mean.scores","eef.sum.scores","eef.sum.rescaled","eef.zscores","q19.r","q20.r","q22.r","q23.r","q24.r","q30.r","q31.r","q33.r","q34.r","q35.r","q21.r","q32.r","q28_1.r","q28_2.r","q28_3.r","q28_4.r","q28_5.r","q40_1.r","q40_2.r","q40_3.r","q40_4.r","q40_5.r"
"394",394,2024-08-30 12:36:16,2024-08-30 12:48:38,100,741,"True",2024-08-30 12:48:38,"R_6kodVNawv78pTT6","41.4121","-80.3746","I consent, begin the study",33,"Yes, U.S. citizen by birth","Pennsylvania",42,"About half the time","Somewhat unfavorable","Not legitimate","About half of the time","Watermelon",NA,16.621,"Yes",NA,NA,"Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat approve","Somewhat likely","Not too likely","Not likely at all","Very likely","Somewhat likely","Probably should adopt","Somewhat","Very","Somewhat","Very","Very","Somewhat","Somewhat","Very","Very safe","Somewhat approve","Not too likely","Not too likely","Not likely at all","Somewhat likely","Not likely at all","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","No","Not too likely","Not likely at all","Not likely at all","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","Unsure","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","Female","Female","25-34","18-34","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Not very strong",NA,NA,"Conservative","Conservative",NA,"33","2","13","1","1","2","9","1","16125","66d1f4ef-73f3-7865-08b3-c2403f3a06a2","Treatment",1,"A",0,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","No impact","Increase","Increase","Increase",1,1,1,1,1,1,1,1,0,1,1,1,2.83333333333333,17,0.611111111111111,-0.375277472801894,2.6,13,0.533333333333333,0.440956430150151,2,2,1,2,2,2,3,3,3,2,2,2,-2,-1,0,-3,-2,-1,-1,0,-2,0
"395",395,2024-08-30 12:36:39,2024-08-30 12:48:50,100,730,"True",2024-08-30 12:48:50,"R_6Auym0JWiINweWZ","40.9363","-74.6608","I consent, begin the study",64,"Yes, U.S. citizen by birth","New Jersey",34,"About half the time","Somewhat favorable","Legitimate","Most of the time","Watermelon",NA,29.999,"Yes",NA,NA,"Very","Very","Very","Very","Very","Somewhat","Not that much","Somewhat","Strongly approve","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Probably should adopt","Very","Very","Very","Very","Very","Very","Not that much","Very","Very safe","Strongly approve","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Not likely at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence a lot","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence a lot","No impact on confidence","No impact on confidence","Increase confidence a lot","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Not likely at all","Not likely at all","Not likely at all","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","Female","Female","55-64","55-74","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Moderate: middle of the road","Moderate: middle of the road",NA,"64","2","1","1","1","2","1","1","07857","66d1f511-d8ee-becc-d316-1a6122a579a8","Treatment",1,"B",0,"Increase","No impact","No impact","Increase","No impact","No impact","Increase","No impact","No impact","Increase","No impact","No impact",1,0,0,1,0,0,1,0,0,1,0,0,3.83333333333333,23,0.944444444444444,1.07094991620234,1,5,0,-1.68256690923719,3,3,3,3,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
"396",396,2024-08-30 12:19:53,2024-08-30 12:48:54,100,1741,"True",2024-08-30 12:48:55,"R_7YXmZy3MHBSIwzd","38.6975","-121.2714","I consent, begin the study",71,"Yes, U.S. citizen by birth","California",6,"Most of the time","Somewhat favorable","Not legitimate","Most of the time","Watermelon",NA,99.374,"Yes",NA,NA,"Very","Very","Very","Very","Very","Somewhat","Not that much","Very","Strongly approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Not likely at all","Probably should adopt","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not at all","Very","Very safe","Strongly approve","Not too likely","Not too likely","Not likely at all","Not likely at all","Not likely at all","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No","Not too likely","Not too likely","Not too likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","Female","Female","65-74","55-74","No","White or Caucasian","White","White","White or Caucasian","Associate degree in college (2-year)","College degree","No",NA,"Yes","Only family","Some relation","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Independent",NA,NA,"Republican","Conservative","Slightly conservative",NA,"71","2","12","1","1","4","5","4","95531","66d1f0fe-e46d-bde6-acad-2437b81ba569","Treatment",1,"A",0,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","No impact","Decrease","Increase","Increase","Increase",1,1,1,1,1,1,1,0,0,1,1,1,3.83333333333333,23,0.944444444444444,1.07094991620234,2,10,0.333333333333333,-0.355364822120101,3,3,3,3,2,2,2,2,2,2,3,2,-1,-1,-2,-1,0,-1,-1,0,0,0
"397",397,2024-08-30 12:34:33,2024-08-30 12:49:12,100,878,"True",2024-08-30 12:49:13,"R_5LgluigUUBSCx21","39.0811","-103.5075","I consent, begin the study",23,"Yes, U.S. citizen by birth","Colorado",8,"Most of the time","Somewhat unfavorable","Legitimate","About half of the time","Watermelon",NA,NA,NA,52.694,"Yes","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Not that much","Not that much","Somewhat","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Somewhat likely","Probably should adopt","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Not that much","Not safe at all","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Somewhat likely","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence a lot","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence a lot","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No","Not likely at all","Not likely at all","Not likely at all","False -- this is not the case at all","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","False -- this is not the case at all","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","Non-binary / third gender","Other/Refused","18-24","18-34","No","White or Caucasian","White","White","White or Caucasian","Less than high school degree","H.S. or less","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Independent",NA,NA,"Democratic","Liberal","Extremely Liberal",NA,"23","1","11","1","1","1","6","4","80815","66d1f494-a1e0-cb7a-2f85-7dcfc1941c76","Control",0,"A",0,"Increase","Increase","Increase","No impact","Increase","No impact","Decrease","No impact","No impact","No impact","Increase","Increase",1,1,1,0,1,0,0,0,0,0,1,1,2.66666666666667,16,0.555555555555556,-0.616315370969266,2.4,12,0.466666666666667,0.175516012726734,2,2,1,2,1,2,2,2,2,1,2,2,-1,-1,-2,-1,-2,-1,-1,-2,-1,-2
"398",398,2024-08-30 12:31:19,2024-08-30 12:49:18,100,1078,"True",2024-08-30 12:49:18,"R_7DXPOlnZ6aGdTEv","32.7797","-96.8022","I consent, begin the study",45,"Yes, U.S. citizen by birth","Texas",48,"Never","Strongly unfavorable","Not legitimate","Never","Watermelon",NA,31.622,"Yes",NA,NA,"Not that much","Somewhat","Very","Somewhat","Somewhat","Not that much","Not that much","Somewhat","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Not too likely","Probably should adopt","Not that much","Not that much","Not that much","Not that much","Not that much","Not that much","Somewhat","Not that much","Not too safe","Somewhat disapprove","Somewhat likely","Somewhat likely","Somewhat likely","Not too likely","Somewhat likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Not too likely","Not too likely","Not likely at all","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","False -- this is not the case at all","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","Female","Female","45-54","35-54","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"No","No relation","No relation","I'm sure I didn't vote","Didn't vote",NA,"No","Independent","Other",NA,NA,"Neither","Conservative","Conservative",NA,"45","2","1","1","1","2","7","3","79706","66d1f3a4-7127-76fa-cc35-dbd13ccfd5d0","Treatment",1,"B",1,"Increase","Increase","Decrease","Increase","Decrease","No impact","Increase","Decrease","No impact","Increase","No impact","No impact",1,1,0,1,0,0,1,0,0,1,0,0,2.83333333333333,17,0.611111111111111,-0.375277472801894,2.2,11,0.4,-0.0899244046966838,1,2,2,2,1,1,1,1,1,1,3,1,-1,-1,-2,-1,-1,-2,-2,-2,-1,-2
"399",399,2024-08-30 12:36:24,2024-08-30 12:49:19,100,774,"True",2024-08-30 12:49:20,"R_6cfo4Zn3CjEBhdL","42.9155","-78.8822","I consent, begin the study",52,"Yes, U.S. citizen by naturalization","New York",36,"Sometimes","Strongly favorable","Legitimate","About half of the time","Watermelon",NA,18.46,"Yes",NA,NA,"Very","Very","Not that much","Not that much","Not that much","Not that much","Not that much","Somewhat","Somewhat disapprove","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely","Probably should not adopt","Somewhat","Somewhat","Not that much","Not that much","Not that much","Not that much","Somewhat","Not that much","Not too safe","Somewhat disapprove","Somewhat likely","Not too likely","Somewhat likely","Not too likely","Somewhat likely","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No","Not likely at all","Not likely at all","Not likely at all","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Female","Female","45-54","35-54","Yes","Other","Hispanic","Non-White","Hispanic","Less than high school degree","H.S. or less","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Conservative","Extremely conservative",NA,"52","2","1","15","14","1","1","1","14213","66d1f4f2-9716-94b8-b018-4ae707351f75","Treatment",1,"A",1,"Increase","Increase","Increase","Increase","Increase","Increase","Decrease","Increase","Decrease","Decrease","Increase","Increase",1,1,1,1,1,1,0,1,0,0,1,1,2.66666666666667,16,0.555555555555556,-0.616315370969266,2,10,0.333333333333333,-0.355364822120101,3,3,1,1,1,2,2,1,1,1,1,1,-1,-1,-1,-1,-1,-2,-1,-2,-1,-2
"400",400,2024-08-30 12:33:54,2024-08-30 12:49:29,100,935,"True",2024-08-30 12:49:30,"R_7MRug3C6GsfvteS","34.0014","-84.0144","I consent, begin the study",27,"Yes, U.S. citizen by birth","Georgia",13,"Always","Somewhat favorable","Legitimate","Some of the time","Watermelon",NA,38.672,"Yes",NA,NA,"Somewhat","Very","Somewhat","Not that much","Very","Very","Somewhat","Somewhat","Somewhat disapprove","Somewhat likely","Not too likely","Not too likely","Somewhat likely","Somewhat likely","Probably should adopt","Somewhat","Very","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat","Somewhat safe","Somewhat disapprove","Not likely at all","Not too likely","Somewhat likely","Not too likely","Somewhat likely","No impact on confidence","Increase confidence somewhat","Increase confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No impact on confidence","Increase confidence somewhat","Increase confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No","Very likely","Very likely","Very likely","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","True -- this is the case","More false than true -- this is mostly not the case, but not completely false","Female","Female","25-34","18-34","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Moderate: middle of the road","Moderate: middle of the road",NA,"27","2","8","1","1","2","5","3","30011","66d1f40e-d118-ceaa-4fb5-e9fc3335e08f","Treatment",1,"A",0,"No impact","Increase","Increase","Decrease","No impact","No impact","Increase","Decrease","Decrease","No impact","Increase","Increase",0,1,1,0,0,0,1,0,0,0,1,1,3.33333333333333,20,0.777777777777778,0.347836221700222,2.6,13,0.533333333333333,0.440956430150151,2,3,1,3,3,2,3,2,2,1,2,2,-2,-1,-1,-2,-2,0,-1,-2,-1,-2
"401",401,2024-08-30 12:38:11,2024-08-30 12:49:32,100,680,"True",2024-08-30 12:49:32,"R_6m511prJegaq329","38.6438","-77.3451","I consent, begin the study",39,"Yes, U.S. citizen by birth","Virginia",51,"Most of the time","Neither favorable nor unfavorable","Legitimate","Some of the time","Watermelon",NA,NA,NA,31.151,"Yes","Somewhat","Somewhat","Somewhat","Very","Somewhat","Somewhat","Very","Somewhat","Strongly approve","Not likely at all","Somewhat likely","Not too likely","Not likely at all","Not too likely","Probably should adopt","Very","Somewhat","Very","Very","Very","Very","Somewhat","Somewhat","Very safe","Strongly approve","Not likely at all","Not too likely","Not likely at all","Not likely at all","Not likely at all","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No","Not too likely","Not too likely","Not likely at all","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","Male","Male","35-44","35-54","No","Black or African American","Black","Non-White","Black or African American","Bachelor's degree in college (4-year)","College degree","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Independent",NA,NA,"Democratic","Liberal","Liberal",NA,"39","1","11","2","1","5","3","3","22192","66d1f564-c32f-af9d-f239-bee785505aec","Control",0,"A",0,"Increase","No impact","No impact","Increase","Increase","Increase","No impact","Decrease","No impact","Increase","Increase","No impact",1,0,0,1,1,1,0,0,0,1,1,0,3.16666666666667,19,0.722222222222222,0.10679832353285,1.8,9,0.266666666666667,-0.620805239543519,2,2,3,2,2,3,2,3,3,3,2,3,0,-2,-1,0,-1,0,-1,0,0,0
"402",402,2024-08-30 12:43:06,2024-08-30 12:49:35,100,389,"True",2024-08-30 12:49:36,"R_7Xbz4xJSbeEmKJJ","38.8892","-76.9417","I consent, begin the study",56,"Yes, U.S. citizen by birth","Maryland",24,"Most of the time","Neither favorable nor unfavorable","Legitimate","About half of the time","Watermelon",NA,16.254,"Yes",NA,NA,"Very","Somewhat","Very","Somewhat","Somewhat","Very","Not at all","Very","Somewhat approve","Not likely at all","Not too likely","Not too likely","Not likely at all","Not too likely","Definitely should adopt","Somewhat","Somewhat","Very","Very","Somewhat","Somewhat","Not at all","Somewhat","Very safe","Strongly approve","Not likely at all","Not too likely","Not likely at all","Not likely at all","Not likely at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No","Very likely","Very likely","Very likely","True -- this is the case","True -- this is the case","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","True -- this is the case","Male","Male","55-64","55-74","No","Black or African American","Black","Non-White","Black or African American","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"No","No relation","No relation","I'm sure I didn't vote","Didn't vote",NA,"Yes","Republican","Independent",NA,NA,"Republican","Moderate: middle of the road","Moderate: middle of the road",NA,"56","1","4","2","1","2","5","3","20785","66d1f680-1720-c170-1df8-45e970a7bfe4","Treatment",1,"B",1,"Increase","No impact","Increase","No impact","No impact","Increase","Increase","Increase","No impact","No impact","Increase","No impact",1,0,1,0,0,1,1,1,0,0,1,0,3.5,21,0.833333333333333,0.588874119867594,1.6,8,0.2,-0.886245656966936,3,2,2,2,3,2,2,3,2,2,3,3,0,-1,-1,0,-1,0,-1,0,0,0
"403",403,2024-08-30 12:34:21,2024-08-30 12:49:44,100,922,"True",2024-08-30 12:49:44,"R_5DCKJfs7AKHFIg4","43.6716","-72.3818","I consent, begin the study",46,"Yes, U.S. citizen by birth","Vermont",50,"About half the time","Somewhat favorable","Not legitimate","Some of the time","Watermelon",NA,58.791,"Yes",NA,NA,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not likely at all","Definitely should adopt","Somewhat","Somewhat","Very","Very","Very","Somewhat","Not at all","Very","Very safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not likely at all","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Somewhat likely","Very likely","Somewhat likely","True -- this is the case","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","Male","Male","45-54","35-54","No","White or Caucasian","White","White","White or Caucasian","Some college but no degree","Some college no degree","Yes","No","Yes","Served w/fam","Some relation","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Conservative","Slightly conservative",NA,"46","1","10","1","1","4","10","1","05047","66d1f47d-0e2c-93cc-7dc4-ebf017ac3c9b","Treatment",1,"A",0,"Increase","Increase","Increase","Increase","Increase","Decrease","Increase","No impact","Decrease","Increase","No impact","No impact",1,1,1,1,1,0,1,0,0,1,0,0,3,18,0.666666666666667,-0.134239574634522,1.8,9,0.266666666666667,-0.620805239543519,2,2,2,2,2,2,2,3,3,2,2,3,-1,-1,-1,-1,0,-1,-1,-1,-1,0
"404",404,2024-08-30 12:35:58,2024-08-30 12:49:48,100,830,"True",2024-08-30 12:49:49,"R_7nZ3U3GMH6t6yvq","28.4932","-81.2878","I consent, begin the study",63,"Yes, U.S. citizen by birth","Florida",12,"About half the time","Neither favorable nor unfavorable","Legitimate","Most of the time","Watermelon",NA,NA,NA,118.292,"Yes","Very","Very","Very","Somewhat","Somewhat","Somewhat","Not that much","Very","Strongly approve","Not too likely","Not too likely","Not too likely","Not too likely","Not likely at all","Definitely should adopt","Somewhat","Somewhat","Very","Somewhat","Very","Somewhat","Not at all","Very","Very safe","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Not likely at all","Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Somewhat likely","Somewhat likely","Not too likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","Unsure","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","True -- this is the case","Female","Female","55-64","55-74","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"Yes","Only family","Some relation","Yes, I'm sure I voted","Voted","Donald Trump","Undecided","Republican","Republican","Not very strong",NA,NA,"Moderate: middle of the road","Moderate: middle of the road",NA,"63","2","14","1","1","2","8","3","32825","66d1f4bd-ee25-cec0-0ab2-dfdf47f6cc24","Control",0,"A",0,"Increase","Increase","Increase","No impact","No impact","No impact","Increase","Increase","No impact","Increase","No impact","No impact",1,1,1,0,0,0,1,1,0,1,0,0,3.5,21,0.833333333333333,0.588874119867594,1.8,9,0.266666666666667,-0.620805239543519,3,3,2,2,2,2,2,2,3,2,3,3,-1,-1,-1,-1,0,-1,-1,-2,-1,0
