"","rowID","response_id","lucid_rid","gender","gender_3cat","hisp","race","educ","milserv1","milserv2","milservfam","voted2020","voted2020.clps","choice2020","voteintent","partyid_3cat","partyid","partystr_rep","partystr_dem","partylean","ideo","ideolean","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q13_treat_time","q14","q16_control_time","q17","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28_1","q28_2","q28_3","q28_4","q28_5","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40_1","q40_2","q40_3","q40_4","q40_5","q41_1","q41_2","q41_3","q41_4","q41_5","q41_6","q43_1","q43_2","q43_3","q43_4","q43_5","q43_6","q44_1","q44_2","q44_3","q44_4","q44_5","q44_6","q46_1","q46_2","q46_3","q46_4","q46_5","q46_6","q47","q48","q49","q50","q51","q52","q53","q54","q55","q56","q57","q58","lucid_age","lucid_gender","lucid_hhi","lucid_ethnicity","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","group","qset","popeff_qdo","q19.clps","q20.clps","q21.clps","q22.clps","q23.clps","q24.clps","q25.clps","q26.clps","q27.clps","q28_1.clps","q28_2.clps","q28_3.clps","q28_4.clps","q28_5.clps","q29.clps","q30.clps","q31.clps","q32.clps","q33.clps","q34.clps","q35.clps","q36.clps","q37.clps","q38.clps","q39.clps","q40_1.clps","q40_2.clps","q40_3.clps","q40_4.clps","q40_5.clps","q41_1.clps","q41_2.clps","q41_3.clps","q41_4.clps","q41_5.clps","q41_6.clps","q43_1.clps","q43_2.clps","q43_3.clps","q43_4.clps","q43_5.clps","q43_6.clps","q44_1.clps","q44_2.clps","q44_3.clps","q44_4.clps","q44_5.clps","q44_6.clps","q46_1.clps","q46_2.clps","q46_3.clps","q46_4.clps","q46_5.clps","q46_6.clps","q41.1","q41.2","q41.3","q41.4","q41.5","q41.6","q43.1","q43.2","q43.3","q43.4","q43.5","q43.6","q41.1.clps","q41.2.clps","q41.3.clps","q41.4.clps","q41.5.clps","q41.6.clps","q43.1.clps","q43.2.clps","q43.3.clps","q43.4.clps","q43.5.clps","q43.6.clps","q41.1.clps.dum","q41.2.clps.dum","q41.3.clps.dum","q41.4.clps.dum","q41.5.clps.dum","q41.6.clps.dum","q43.1.clps.dum","q43.2.clps.dum","q43.3.clps.dum","q43.4.clps.dum","q43.5.clps.dum","q43.6.clps.dum"
"402",402,"R_7Xbz4xJSbeEmKJJ","66d1f680-1720-c170-1df8-45e970a7bfe4","Male","Male","No","Black or African American","High school graduate (high school diploma or equivalent including GED)","No",NA,"No","I'm sure I didn't vote","Didn't vote",NA,"Yes","Republican","Independent",NA,NA,"Republican","Moderate: middle of the road",NA,"I consent, begin the study",56,"Yes, U.S. citizen by birth","Maryland","Most of the time","Neither favorable nor unfavorable","Legitimate","About half of the time","Watermelon",NA,16.254,"Yes",NA,NA,"Very confident","Somewhat confident","Very committed","Somewhat confident","Somewhat confident","Very confident","Not at all concerned","Very confident","Somewhat approve","Not likely at all","Not too likely","Not too likely","Not likely at all","Not too likely","Definitely should adopt","Somewhat confident","Somewhat confident","Very committed","Very confident","Somewhat confident","Somewhat confident","Not at all concerned","Somewhat confident","Very safe","Strongly approve","Not likely at all","Not too likely","Not likely at all","Not likely at all","Not likely at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Very likely","Very likely","Very likely","True -- this is the case","True -- this is the case","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","True -- this is the case","56","1","4","2","1","2","5","3","20785","Treatment","B",1,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"increase","no_impact","no_impact","no_impact","increase","increase","increase","no_impact","increase","increase","no_impact","no_impact","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","increase","no_impact","increase","no_impact","no_impact","increase","increase","increase","no_impact","no_impact","increase","no_impact",1,0,1,0,0,1,1,1,0,0,1,0
"403",403,"R_5DCKJfs7AKHFIg4","66d1f47d-0e2c-93cc-7dc4-ebf017ac3c9b","Male","Male","No","White or Caucasian","Some college but no degree","Yes","No","Yes","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Slightly conservative",NA,"I consent, begin the study",46,"Yes, U.S. citizen by birth","Vermont","About half the time","Somewhat favorable","Not legitimate","Some of the time","Watermelon",NA,58.791,"Yes",NA,NA,"Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not likely at all","Definitely should adopt","Somewhat confident","Somewhat confident","Very committed","Very confident","Very confident","Somewhat confident","Not at all concerned","Very confident","Very safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not likely at all","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Somewhat likely","Very likely","Somewhat likely","True -- this is the case","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","46","1","10","1","1","4","10","1","05047","Treatment","A",0,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","increase","increase","increase","increase","increase","decrease","increase","no_impact","decrease","increase","no_impact","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","increase","increase","increase","increase","increase","decrease","increase","no_impact","decrease","increase","no_impact","no_impact",1,1,1,1,1,0,1,0,0,1,0,0
"404",404,"R_7nZ3U3GMH6t6yvq","66d1f4bd-ee25-cec0-0ab2-dfdf47f6cc24","Female","Female","No","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","No",NA,"Yes","Yes, I'm sure I voted","Voted","Donald Trump","Undecided","Republican","Republican","Not very strong",NA,NA,"Moderate: middle of the road",NA,"I consent, begin the study",63,"Yes, U.S. citizen by birth","Florida","About half the time","Neither favorable nor unfavorable","Legitimate","Most of the time","Watermelon",NA,NA,NA,118.292,"Yes","Very confident","Very confident","Very committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Very confident","Strongly approve","Not too likely","Not too likely","Not too likely","Not too likely","Not likely at all","Definitely should adopt","Somewhat confident","Somewhat confident","Very committed","Somewhat confident","Very confident","Somewhat confident","Not at all concerned","Very confident","Very safe","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Not likely at all","Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Somewhat likely","Somewhat likely","Not too likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","Unsure","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","True -- this is the case","63","2","14","1","1","2","8","3","32825","Control","A",0,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Not_likely","Not_likely","Likely","Not_likely","Not_likely","increase","increase","increase","no_impact","no_impact","no_impact","increase","increase","no_impact","increase","no_impact","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","increase","increase","increase","no_impact","no_impact","no_impact","increase","increase","no_impact","increase","no_impact","no_impact",1,1,1,0,0,0,1,1,0,1,0,0
"405",405,"R_1QeCBSTwI7vYqFb","66d1f27a-c6cc-5031-9f45-ac4a380573af","Male","Male","No","White or Caucasian","Bachelor's degree in college (4-year)","Yes","No","No","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Not very strong",NA,NA,"Slightly conservative",NA,"I consent, begin the study",82,"Yes, U.S. citizen by birth","Kansas","Most of the time","Somewhat favorable","Not legitimate","Most of the time","Watermelon",NA,NA,NA,36.19,"Yes","Somewhat confident","Somewhat confident","Somewhat committed","Not too confident","Not too confident","Somewhat confident","Not too concerned","Not too confident","Somewhat approve","Somewhat likely","Somewhat likely","Very likely","Not too likely","Somewhat likely","Probably should not adopt","Somewhat confident","Not too confident","Somewhat committed","Not too confident","Not too confident","Not too confident","Somewhat concerned","Somewhat confident","Very safe","Somewhat approve","Very likely","Somewhat likely","Somewhat likely","Not too likely","Somewhat likely","Increase confidence a lot","Increase confidence somewhat","Decrease confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat likely","Somewhat likely","Somewhat likely","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","False -- this is not the case at all","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","82","1","14","1","5","5","9","2","66213","Control","A",0,"Confident","Confident","committed","Not_confident","Not_confident","Confident","not_concerned","Not_confident","approve","Likely","Likely","Likely","Not_likely","Likely","oppose","Confident","Not_confident","committed","Not_confident","Not_confident","Not_confident","concerned","Confident","safe","approve","Likely","Likely","Likely","Not_likely","Likely","increase","increase","decrease","increase","increase","increase","increase","increase","decrease","increase","increase","increase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence somewhat","Decrease confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","increase","increase","decrease","increase","increase","increase","increase","increase","decrease","increase","increase","increase",1,1,0,1,1,1,1,1,0,1,1,1
"406",406,"R_7OOOFVtNa0VV5cx","66d1f59f-ed1d-a880-8b1c-b59a07e2bed5","Female","Female","No","White or Caucasian","Some college but no degree","No",NA,"No","Yes, I'm sure I voted","Voted","Other","Yes","Republican","Independent",NA,NA,"Republican","Extremely conservative",NA,"I consent, begin the study",33,"Yes, U.S. citizen by birth","Arizona","About half the time","Strongly unfavorable","Legitimate","Most of the time","Watermelon",NA,NA,NA,21.525,"No","Very confident","Very confident","Very committed","Very confident","Very confident","Very confident","Somewhat concerned","Very confident","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not likely at all","Not likely at all","Probably should not adopt","Very confident","Very confident","Very committed","Very confident","Very confident","Very confident","Somewhat concerned","Very confident","Very safe","Somewhat disapprove","Somewhat likely","Not likely at all","Somewhat likely","Not likely at all","Not too likely","Increase confidence a lot","Increase confidence a lot","No impact on confidence","No impact on confidence","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","Decrease confidence a lot","Decrease confidence a lot","No impact on confidence","Increase confidence somewhat","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not likely at all","Not likely at all","Not likely at all","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","False -- this is not the case at all","More true than false -- this is mostly the case, but not completely true","False -- this is not the case at all","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","33","2","18","1","1","4","5","4","85016","Control","A",1,"Confident","Confident","committed","Confident","Confident","Confident","concerned","Confident","approve","Not_likely","Not_likely","Likely","Not_likely","Not_likely","oppose","Confident","Confident","committed","Confident","Confident","Confident","concerned","Confident","safe","disapprove","Likely","Not_likely","Likely","Not_likely","Not_likely","increase","increase","no_impact","no_impact","increase","no_impact","increase","decrease","decrease","no_impact","increase","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence a lot","No impact on confidence","No impact on confidence","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","Decrease confidence a lot","Decrease confidence a lot","No impact on confidence","Increase confidence somewhat","No impact on confidence","increase","increase","no_impact","no_impact","increase","no_impact","increase","decrease","decrease","no_impact","increase","no_impact",1,1,0,0,1,0,1,0,0,0,1,0
"407",407,"R_7QKXKyUR265CyBU","66d1f5ff-ea75-39e2-8fe2-54b2dfe97469","Male","Male","No","White or Caucasian","Master's degree","No",NA,"No","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Independent","Other",NA,NA,"Neither","Extremely conservative",NA,"I consent, begin the study",59,"Yes, U.S. citizen by birth","Arkansas","Most of the time","Neither favorable nor unfavorable","Not legitimate","About half of the time","Watermelon",NA,46.041,"Yes",NA,NA,"Not too confident","Not too confident","Not too committed","Not too confident","Not at all confident","Not at all confident","Somewhat concerned","Not too confident","Somewhat disapprove","Very likely","Very likely","Not too likely","Not too likely","Somewhat likely","Probably should adopt","Not too confident","Not too confident","Not too committed","Not too confident","Not too confident","Not too confident","Not too concerned","Somewhat confident","Very safe","Somewhat disapprove","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Not too likely","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Somewhat likely","Not too likely","Not too likely","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","False -- this is not the case at all","More false than true -- this is mostly not the case, but not completely false","59","1","3","1","1","7","4","3","72404","Treatment","A",1,"Not_confident","Not_confident","not_committed","Not_confident","Not_confident","Not_confident","concerned","Not_confident","disapprove","Likely","Likely","Not_likely","Not_likely","Likely","support","Not_confident","Not_confident","not_committed","Not_confident","Not_confident","Not_confident","not_concerned","Confident","safe","disapprove","Likely","Likely","Not_likely","Not_likely","Not_likely","no_impact","increase","decrease","increase","no_impact","decrease","increase","decrease","no_impact","increase","no_impact","decrease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","no_impact","increase","decrease","increase","no_impact","decrease","increase","decrease","no_impact","increase","no_impact","decrease",0,1,0,1,0,0,1,0,0,1,0,0
"408",408,"R_1qHXkFORlnD6Z7L","66d1f5e6-4179-99c1-1b97-4234608772bc","Male","Male","No","Black or African American","Associate degree in college (2-year)","No",NA,"No","Yes, I'm sure I voted","Voted","Joe Biden","Undecided","Democrat","Democrat",NA,"Not very strong",NA,"Moderate: middle of the road",NA,"I consent, begin the study",45,"Yes, U.S. citizen by birth","Arkansas","About half the time","Neither favorable nor unfavorable","Legitimate","Some of the time","Watermelon",NA,NA,NA,18.423,"Yes","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat concerned","Not too confident","Somewhat disapprove","Somewhat likely","Not too likely","Not too likely","Somewhat likely","Somewhat likely","Probably should not adopt","Not too confident","Not too confident","Not too committed","Not too confident","Not too confident","Not too confident","Not too concerned","Not too confident","Not too safe","Somewhat disapprove","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No","Not too likely","Not too likely","Not too likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","45","1","1","2","1","3","3","3","72209","Control","B",0,"Confident","Confident","committed","Confident","Confident","Confident","concerned","Not_confident","disapprove","Likely","Not_likely","Not_likely","Likely","Likely","oppose","Not_confident","Not_confident","not_committed","Not_confident","Not_confident","Not_confident","not_concerned","Not_confident","unsafe","disapprove","Likely","Likely","Likely","Likely","Likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact",0,0,0,0,0,0,0,0,0,0,0,0
"409",409,"R_6KCItGyHu38Q15z","66d1f594-2aa3-8145-a3d1-86855eef3271","Female","Female","No","White or Caucasian","Master's degree","No",NA,"No","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Extremely conservative",NA,"I consent, begin the study",48,"Yes, U.S. citizen by birth","Oregon","Most of the time","Somewhat unfavorable","Legitimate","Some of the time","Watermelon",NA,56.98,"Yes",NA,NA,"Very confident","Very confident","Very committed","Very confident","Very confident","Somewhat confident","Not too concerned","Very confident","Somewhat approve","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Probably should adopt","Very confident","Very confident","Very committed","Very confident","Very confident","Somewhat confident","Not at all concerned","Very confident","Very safe","Strongly approve","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Not likely at all","Increase confidence a lot","Increase confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not too likely","Somewhat likely","Not too likely","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","More true than false -- this is mostly the case, but not completely true","True -- this is the case","50","2","19","1","1","7","10","4","97015","Treatment","A",1,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","increase","increase","decrease","no_impact","no_impact","no_impact","increase","decrease","decrease","no_impact","no_impact","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","increase","increase","decrease","no_impact","no_impact","no_impact","increase","decrease","decrease","no_impact","no_impact","no_impact",1,1,0,0,0,0,1,0,0,0,0,0
"410",410,"R_3NoWjcnDM9KuZKF","66d1f5bb-22d9-a54a-84be-5ce464601299","Male","Male","No","Black or African American","High school graduate (high school diploma or equivalent including GED)","No",NA,"No","I don't think I voted","Didn't vote","Other","No","Independent","Other",NA,NA,"Neither","Moderate: middle of the road",NA,"I consent, begin the study",44,"Yes, U.S. citizen by birth","Louisiana","Sometimes","Neither favorable nor unfavorable","Not legitimate","Some of the time","Watermelon",NA,NA,NA,16.63,"Yes","Somewhat confident","Somewhat confident","Somewhat committed","Not too confident","Not too confident","Somewhat confident","Somewhat concerned","Somewhat confident","Somewhat approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Definitely should not adopt","Not too confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat concerned","Not too confident","Somewhat safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Somewhat likely","Somewhat likely","Somewhat likely","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","44","1","1","2","1","2","7","3","71202","Control","A",0,"Confident","Confident","committed","Not_confident","Not_confident","Confident","concerned","Confident","approve","Likely","Likely","Likely","Likely","Likely","oppose","Not_confident","Confident","committed","Confident","Confident","Confident","concerned","Not_confident","safe","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","increase","increase","increase","no_impact","increase","increase","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","increase","increase","increase","no_impact","increase","increase","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact",1,1,1,0,1,1,0,0,0,0,0,0
"411",411,"R_7jPbL2f9UxvttRq","66d1f5d3-3269-9c13-60fd-50965d71aab5","Female","Female","Yes","White or Caucasian","Master's degree","No",NA,"No","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Conservative",NA,"I consent, begin the study",29,"Yes, U.S. citizen by birth","North Carolina","Most of the time","Neither favorable nor unfavorable","Not legitimate","About half of the time","Watermelon",NA,27.03,"Yes",NA,NA,"Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Not too confident","Not at all concerned","Very confident","Somewhat approve","Not too likely","Not too likely","Very likely","Somewhat likely","Not likely at all","Definitely should adopt","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Not too confident","Not too confident","Not too concerned","Somewhat confident","Very safe","Somewhat approve","Somewhat likely","Somewhat likely","Not too likely","Somewhat likely","Not likely at all","No impact on confidence","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Somewhat likely","Somewhat likely","Somewhat likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","29","2","17","15","1","6","10","3","28117","Treatment","A",0,"Confident","Confident","committed","Confident","Confident","Not_confident","not_concerned","Confident","approve","Not_likely","Not_likely","Likely","Likely","Not_likely","support","Confident","Confident","committed","Confident","Not_confident","Not_confident","not_concerned","Confident","safe","approve","Likely","Likely","Not_likely","Likely","Not_likely","no_impact","increase","no_impact","increase","no_impact","decrease","increase","no_impact","no_impact","increase","no_impact","decrease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No impact on confidence","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","no_impact","increase","no_impact","increase","no_impact","decrease","increase","no_impact","no_impact","increase","no_impact","decrease",0,1,0,1,0,0,1,0,0,1,0,0
